83,111030,-47281,-51782,99319,-47281,-51782,99319,0,0,0,0
84,112384,-11970,-79413,91446,-11970,-79413,91446,0,0,0,0
85,113738,25120,-96246,70988,25120,-96246,70988,0,0,0,0
86,115092,59071,-99900,40504,59071,-99900,40504,0,0,0,0
87,116446,83937,-88213,3816,83937,-88213,3816,0,0,0,0
88,117800,97139,-64627,-33044,97139,-64627,-33044,0,0,0,0
89,119154,97010,-32265,-65273,97010,-32265,-65273,0,0,0,0
90,120508,83561,4647,-88667,83561,4647,-88667,0,0,0,0
91,121862,58407,41254,-99982,58407,41254,-99982,0,0,0,0
92,123216,24302,71512,-95949,24302,71512,-95949,0,0,0,0
93,124570,-12788,91744,-78890,-12788,91744,-78890,0,0,0,0
94,125924,-48019,99363,-51084,-48019,99364,-51084,0,0,0,0
95,127278,-76794,93369,-16159,-76794,93369,-16159,0,0,0,0
96,128632,-95180,74371,21325,-95180,74371,21325,0,0,0,0
97,129986,-98954,43972,55518,-98954,43972,55518,0,0,0,0
98,131340,-89218,7875,81827,-89218,7875,81827,0,0,0,0
99,132694,-67301,-29197,96863,-67301,-29197,96863,0,0,0,0
100,134048,-36058,-62404,98657,-36058,-62404,98657,0,0,0,0
101,135402,471,-87255,86778,471,-87255,86778,0,0,0,0
102,136757,36909,-98713,61599,36909,-98713,61599,0,0,0,0
103,138111,67978,-96622,28271,67978,-96622,28271,0,0,0,0
104,139465,89656,-81315,-8831,89656,-81315,-8831,0,0,0,0
105,140819,99110,-54785,-44867,99110,-54785,-44867,0,0,0,0
106,142173,94892,-20410,-75000,94892,-20410,-75000,0,0,0,0
107,143527,76132,17072,-93622,76132,17072,-93622,0,0,0,0
108,144881,47184,51876,-99319,47184,51876,-99319,0,0,0,0
109,146235,11861,79482,-91410,11861,79482,-91410,0,0,0,0
110,147589,-25229,96284,-70919,-25229,96284,-70919,0,0,0,0
111,148943,-59147,99863,-40395,-59147,99863,-40395,0,0,0,0
112,150297,-83983,88142,-3702,-83983,88142,-3702,0,0,0,0
113,151651,-97150,64528,33148,-97150,64528,33148,0,0,0,0
114,153005,-96983,32149,65360,-96983,32149,65360,0,0,0,0
115,154359,-83499,-4772,88725,-83499,-4772,88725,0,0,0,0
116,155713,-58294,-41361,99970,-58294,-41361,99970,0,0,0,0
117,157067,-24177,-71592,95899,-24177,-71592,95899,0,0,0,0
118,158421,12912,-91794,78808,12912,-91794,78808,0,0,0,0
119,159775,48133,-99376,50978,48133,-99376,50978,0,0,0,0
120,161129,76885,-93344,16038,76885,-93344,16038,0,0,0,0
121,162483,95206,-74284,-21442,95206,-74284,-21442,0,0,0,0
122,163837,98943,-43867,-55616,98943,-43867,-55616,0,0,0,0
123,165191,89173,-7762,-81898,89173,-7762,-81898,0,0,0,0
124,166545,67225,29305,-96899,67225,29305,-96899,0,0,0,0
125,167899,35961,62497,-98657,35961,62497,-98657,0,0,0,0
126,169253,-580,87291,-86710,-580,87291,-86710,0,0,0,0
127,170607,-37007,98713,-61506,-37007,98713,-61506,0,0,0,0
128,171961,-68054,96585,-28162,-68054,96585,-28162,0,0,0,0
129,173315,-89702,81244,8944,-89702,81244,8944,0,0,0,0
130,174669,-99120,54686,44973,-99120,54686,44973,0,0,0,0
131,176023,-94830,20284,75058,-94830,20284,75058,0,0,0,0
132,177377,-76041,-17193,93646,-76041,-17193,93646,0,0,0,0
133,178731,-47070,-51982,99307,-47070,-51982,99307,0,0,0,0
134,180085,-11736,-79563,91360,-11736,-79563,91360,0,0,0,0
135,181439,25353,-96332,70838,25353,-96332,70838,0,0,0,0
136,182793,59238,-99838,40275,59238,-99838,40275,0,0,0,0
137,184147,84044,-88083,3577,84044,-88083,3577,0,0,0,0
138,185501,97176,-64442,-33266,97176,-64442,-33266,0,0,0,0
139,186855,96973,-32043,-65459,96973,-32043,-65459,0,0,0,0
140,188209,83454,4884,-88796,83454,4884,-88796,0,0,0,0
141,189563,58196,41454,-99970,58196,41454,-99970,0,0,0,0
142,190918,24068,71662,-95863,24068,71662,-95863,0,0,0,0
143,192272,-13021,91830,-78740,-13021,91830,-78740,0,0,0,0
144,193626,-48230,99376,-50884,-48230,99376,-50884,0,0,0,0
145,194980,-76961,93307,-15928,-76961,93307,-15928,0,0,0,0
146,196334,-95217,74186,21547,-95217,74186,21547,0,0,0,0
147,197688,-98917,43750,55703,-98917,43750,55703,0,0,0,0
148,199042,-89111,7638,81956,-89111,7638,81956,0,0,0,0
149,200396,-67133,-29427,96924,-67133,-29427,96924,0,0,0,0
150,201750,-35847,-62604,98645,-35847,-62604,98645,0,0,0,0
151,203104,705,-87340,86628,705,-87340,86628,0,0,0,0
152,204458,37120,-98725,61400,37120,-98725,61400,0,0,0,0
153,205812,68145,-96560,28041,68145,-96560,28041,0,0,0,0
154,207166,89763,-81185,-9070,89763,-81185,-9070,0,0,0,0
